Id,S32,S33,S34,cnt,Magic
21211,1,0,0,1,3
22514,1,0,1,1,3
22632,1,0,0,1,3
28300,1,0,0,1,3
29177,1,0,1,1,3
29442,1,0,0,1,3
34069,1,0,0,1,3
37426,1,0,1,1,3
39015,1,0,1,1,3
39536,1,0,0,1,3
44228,1,0,0,1,3
46739,1,0,0,1,3
49127,1,0,0,1,3
51639,1,0,0,1,3
54615,1,0,0,1,3
56268,1,0,0,1,3
57197,1,0,1,1,3
57909,1,0,0,1,3
63637,1,0,0,1,3
73368,1,0,1,1,3
76236,1,0,1,1,3
78963,1,0,0,1,3
79532,1,0,0,1,3
84770,1,0,0,1,3
89746,1,0,0,1,3
93693,1,0,1,1,3
97408,1,0,1,1,3
99885,1,0,1,1,3
100712,1,0,1,1,3
104680,1,0,0,1,3
104759,1,0,0,1,3
106025,1,0,0,1,3
106510,1,0,0,1,3
107265,1,0,0,1,3
117940,1,0,1,1,3
119735,1,0,0,1,3
120247,1,0,1,1,3
122214,1,0,0,1,3
122749,1,0,0,1,3
125304,1,0,0,1,3
125523,1,0,0,1,3
132113,1,0,1,1,3
133097,1,0,0,1,3
134743,1,0,0,1,3
142002,1,0,0,1,3
149986,1,0,0,1,3
151184,1,0,1,1,3
151375,1,0,0,1,3
152659,1,0,0,1,3
153423,1,0,0,1,3
157988,1,0,1,1,3
160046,1,0,0,1,3
168701,1,0,0,1,3
169497,1,0,1,1,3
173193,1,0,0,1,3
173489,1,0,0,1,3
175439,1,0,1,1,3
180307,1,0,1,1,3
187161,1,0,0,1,3
192155,1,0,0,1,3
194419,1,0,0,1,3
195337,1,0,0,1,3
198407,1,0,0,1,3
200942,1,0,0,1,3
206016,1,0,0,1,3
206082,1,0,0,1,3
212507,1,0,0,1,3
212924,1,0,0,1,3
215188,1,0,1,1,3
217493,1,0,0,1,3
221599,1,0,0,1,3
222928,1,0,0,1,3
225492,1,0,0,1,3
228029,1,0,0,1,3
228067,1,0,0,1,3
230337,1,0,1,1,3
230589,1,0,0,1,3
231441,1,0,0,1,3
231525,1,0,1,1,3
231737,1,0,1,1,3
234979,1,0,0,1,3
235159,1,0,1,1,3
235619,1,0,1,1,3
242561,1,0,1,1,3
244479,1,0,0,1,3
245226,1,0,0,1,3
247949,1,0,0,1,3
249028,1,0,1,1,3
254035,1,0,0,1,3
260626,1,0,1,1,3
261713,1,0,0,1,3
267556,1,0,0,1,3
268453,1,0,0,1,3
276018,1,0,0,1,3
279292,1,0,0,1,3
282236,1,0,0,1,3
282349,1,0,1,1,3
282796,1,0,0,1,3
284680,1,0,1,1,3
285024,1,0,0,1,3
291022,1,0,0,1,3
291544,1,0,0,1,3
302458,1,0,0,1,3
303595,1,0,0,1,3
304549,1,0,0,1,3
305298,1,0,1,1,3
306582,1,0,0,1,3
307662,1,0,0,1,3
312473,1,0,0,1,3
312668,1,0,0,1,3
313064,1,0,0,1,3
314343,1,0,0,1,3
316015,1,0,0,1,3
317759,1,0,0,1,3
318080,1,0,0,1,3
319882,1,0,0,1,3
320468,1,0,0,1,3
321239,1,0,0,1,3
322712,1,0,0,1,3
322869,1,0,1,1,3
323227,1,0,0,1,3
323467,1,0,0,1,3
323958,1,0,0,1,3
324734,1,0,0,1,3
325590,1,0,1,1,3
325799,1,0,0,1,3
326092,1,0,0,1,3
332425,1,0,1,1,3
339285,1,0,0,1,3
339952,1,0,1,1,3
342597,1,0,0,1,3
344353,1,0,0,1,3
